,,,,,,,,
,S No ,Roll No,Name,Branch,Siblings,Hobby 1,Hobby 2,Address
,1,25wh1a0501,Aarav,CSE,Yes,Reading,Painting,Delhi
,2,25wh1a0502,Vivaan,CSE,No,Photography,Photography,Mumbai
,3,25wh1a0503,Aditya,CSE,Yes,Gardening,Cooking,Bengaluru
,4,25wh1a0504,Arjun,CSE,No,Cooking,Pottery,Hyderabad
,5,25wh1a0505,Sai,CSE,Yes,Painting,Calligraphy,Chennai
,6,25wh1a0506,Ayaan,CSE,No,Hiking,Knitting,Kolkata
,7,25wh1a0507,Ibrahim,CSE,Yes,Cycling,Writing,Pune
,8,25wh1a0508,Emma,CSE,No,Knitting,Guitar,Ahmedabad
,9,25wh1a0509,Liam,CSE,Yes,Fishing,Hiking,Jaipur
,10,25wh1a0510,Olivia,CSE,No,Yoga,Gardening,Surat
,11,25wh1a0511,Noah,CSE,Yes,Writing,Cycling,Lucknow
,12,25wh1a0512,Sophia,CSE,No,Pottery,Swimming,Kanpur
,13,25wh1a0513,Jackson,CSE,Yes,Bird watching,Birdwatching,Nagpur
,14,25wh1a0514,Mia,CSE,No,Origami,Fishing,Bhopal
,15,25wh1a0515,Lucas,CSE,Yes,Calligraphy,Reading,Patna
,16,25wh1a0516,Harper,CSE,No,Woodworking,Chess,Indore
,17,25wh1a0517,Ethan,CSE,Yes,Swimming,Linguistics,Vadodara
,18,25wh1a0518,Evelyn,CSE,No,Board games,Yoga,Visakhapatnam
,19,25wh1a0519,Aiden,CSE,Yes,Dancing,Puzzles,Agra
,20,25wh1a0520,Chloe,CSE,No,Astronomy,Numismatics,Varanasi
